outcome,source,optimized,equal,random,total,nonneutral,optimized_share_all,optimized_share_nonneutral,p_exact_two_sided,exact_lower,exact_upper,p_holm,holm_family
Sonic beauty,Neural spikes,111,18,24,153,135,0.7254901960784313,0.8222222222222222,1.432322294872245e-14,0.7471281848177905,0.8826473085370768,1.145857835897796e-13,9 source-specific outcomes
Sonic beauty,Earthquakes,103,24,26,153,129,0.673202614379085,0.7984496124031008,4.855987785091934e-12,0.7187960256068937,0.86391468931508,2.9135926710551606e-11,9 source-specific outcomes
Sonic beauty,X-ray detections,74,35,38,147,112,0.5034013605442177,0.6607142857142857,0.0008605684481792975,0.5651945207987438,0.7474995609457499,0.001721136896358595,9 source-specific outcomes
Sonic beauty,Pooled,288,77,88,453,376,0.6357615894039735,0.7659574468085106,6.419402804278309e-26,0.719828439495141,0.8078427066124254,1.2838805608556618e-25,3 pooled outcomes
Pleasantness,Neural spikes,125,4,24,153,149,0.8169934640522876,0.8389261744966443,1.1259156575889753e-17,0.7698808730281756,0.893986731011134,1.0133240918300778e-16,9 source-specific outcomes
Pleasantness,Earthquakes,108,22,23,153,131,0.7058823529411765,0.8244274809160306,2.295317592526725e-14,0.7482944645489961,0.8853254020151199,1.6067223147687075e-13,9 source-specific outcomes
Pleasantness,X-ray detections,85,23,39,147,124,0.5782312925170068,0.6854838709677419,4.410029455394906e-05,0.5959948475882983,0.7658728696986244,0.00013230088366184716,9 source-specific outcomes
Pleasantness,Pooled,318,49,86,453,404,0.7019867549668874,0.7871287128712872,2.2134237178518727e-32,0.7439402728990949,0.8260523318318844,6.640271153555618e-32,3 pooled outcomes
Personal preference,Neural spikes,106,15,32,153,138,0.6928104575163399,0.7681159420289855,1.865139043673374e-10,0.6887057920066194,0.8356636315520546,7.460556174693496e-10,9 source-specific outcomes
Personal preference,Earthquakes,91,39,23,153,114,0.5947712418300654,0.7982456140350878,9.29097217602857e-11,0.7128100528038777,0.867596499905319,4.6454860880142845e-10,9 source-specific outcomes
Personal preference,X-ray detections,67,34,46,147,113,0.4557823129251701,0.5929203539823009,0.05943072721456762,0.4964726470054727,0.6843740416228529,0.05943072721456762,9 source-specific outcomes
Personal preference,Pooled,264,88,101,453,365,0.5827814569536424,0.7232876712328767,6.266279752836246e-18,0.6743324930021154,0.7685785114158373,6.266279752836246e-18,3 pooled outcomes
