number,id,composer,title,source,units,notes,quarters,H,R,coverage,X,X_min,X_max,M,Y,Y_min,Y_max,M_span_0.5,M_span_1,M_span_2,M_span_4,null_X_mean,null_X_sd,null_X_tail_fraction,null_Y_mean,null_Y_sd,null_Y_tail_fraction
1,bach,Bach,Prelude BWV 846,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/BachJS/BWV846/wtk1-prelude1/wtk1-prelude1.ly,1,144,32.0,0.0737007874015747,0.1411973081144761,0.9921875,89.04218143414367,83.36967290078948,89.4995901608744,0.1331183984134773,87.5361444566784,80.12082151867394,94.35672122930389,0.221634421640022,0.16223750912651,0.0580876795162509,0.0905139833711262,77.86701765818104,2.252390309403148,0.01,75.78852179181382,1.488631790434988,0.01
2,rameau,Rameau,Tambourin,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/RameauJP/tambourin/tambourin.ly,1,73,34.0,0.1759701492537314,0.260163594439398,0.9852941176470588,77.56768875093769,76.05769783005391,84.1414407858243,0.5587124578731971,57.19449932501186,43.562555552901244,77.40604372998733,0.3856444968968289,0.7621277882996633,0.8309722222222222,0.256105324074074,76.4338785178189,3.3659318674218333,0.34,50.98733551359905,3.0637496305500798,0.01
3,scarlatti,Scarlatti,Sonata K.455,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/ScarlattiD/K455/scarlatti-k455/scarlatti-k455.ly,1,85,32.0,0.1369531250000001,0.0882636224848989,1.0,84.9224064467466,80.8361311940051,85.59460158550176,0.5888649280299971,55.495684332718,42.4276219786911,69.0094266458809,0.3709270726659839,0.5335232788231781,0.5936387865331318,0.8573705740976946,82.96935341884267,1.7759304852132756,0.15,48.8276458522429,3.4166189223111925,0.02
4,mozart_turkish,Mozart,Turkish March,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/MozartWA/KV331/KV331_3_RondoAllaTurca/KV331_3_RondoAllaTurca-lys/KV331_3_RondoAllaTurca.ly,1,98,17.0,0.315820895522388,0.143353093335517,0.9852941176470588,69.84953038340977,60.809003308092535,85.65270650726873,0.2646063005806541,76.75080579788504,73.48332092017391,81.35472706177153,0.3081117317770963,0.2853162719080688,0.2063512463066034,0.2586459523308481,68.1658818585086,3.115586370202159,0.32,64.59933049098582,2.3858132343523635,0.01
5,mozart_545,Mozart,Sonata K.545 / I,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/MozartWA/KV545/K545-1/K545-1.ly,1,122,32.0,0.2053515625,0.1702509575902768,1.0,77.38115969800221,67.21977612487883,86.24261489953486,0.4228827633725172,65.51554368235045,56.98216940637724,78.88665061180475,0.344919704490717,0.5624317845230984,0.5470213982583775,0.237158166217876,79.94854084212447,2.1653428658923235,0.89,66.41061768915903,1.9023335373767971,0.74
6,beethoven_moon,Beethoven,Moonlight / I,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/BeethovenLv/O27/moonlight/moonlight-lys/moonlight1-a4.ly,1,132,32.0,0.1014973958333334,0.1839410366402224,1.0,85.49778585397775,80.38873937659456,85.49778585397775,0.143750981577337,86.61033969095838,79.77336215040029,92.3647443509482,0.1294138108789579,0.0794248347943651,0.1401847357384311,0.225980544897594,66.71179557676092,3.478524163574127,0.01,68.32169385821797,3.360773013879041,0.01
7,beethoven_elise,Beethoven,Fur Elise,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/BeethovenLv/WoO59/fur_Elise_WoO59/fur_Elise_WoO59.ly,1,55,12.5,0.1486224489795918,0.2193325252908818,0.98,80.70075891809677,67.01570780362933,88.65086340986984,0.6045165761359714,54.63384758677895,47.583934369458895,68.67340864365906,0.7426749949677939,0.6821473665223665,0.6174358164983166,0.375808126555409,72.07923467743193,4.186967768903953,0.04,52.8270913695058,3.139087976365907,0.29
8,schubert,Schubert,Impromptu Op.90/3,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/SchubertF/D899/SchubertF-D899-3-Impromptu/SchubertF-D899-3-Impromptu.ly,1,237,64.0,0.0954464285714286,0.1674380707073436,1.0,86.4436136621988,81.77840093312074,88.84041773174737,0.1379105670823859,87.1176600127066,83.33722985734978,88.77183495806345,0.1191007601959272,0.1195246074873371,0.1307421010473876,0.1822747995988919,71.3694453315668,2.672370793793525,0.01,75.04950556330463,1.9449245793886183,0.01
9,mendelssohn,Mendelssohn,Venetian Boat Song Op.30/6,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/Mendelssohn-BartholdyF/O30/LiederOhneWorte_-_Op30_No6/LiederOhneWorte_-_Op30_No6.ly,1,78,24.5,0.1158333333333333,0.2673156729972831,0.979591836734694,82.19891896970917,75.77133125672253,84.01022386011007,0.3693650162233231,69.1173075014342,64.04505229074769,76.69284999680043,0.4455834082364722,0.4330905293880837,0.265361702340869,0.3334244249278676,75.59944748897216,2.7960873864450626,0.01,65.15804462886456,1.894320248092037,0.03
10,schumann,Schumann,Traumerei,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/SchumannR/O15/SchumannOp15No07/SchumannOp15No07.ly,1,126,33.0,0.1975,0.1630629375411068,0.9696969696969696,78.15947609459056,70.73881186102695,89.79055246597444,0.2960767949906118,74.37303110648037,65.71434477680901,83.33044957007041,0.1823561625518819,0.2590940938275605,0.3230039767998655,0.4198529467831393,69.37146252081335,3.2893023886757318,0.01,67.32033076122455,2.4769642106320173,0.01
11,chopin,Chopin,Nocturne Op.9/2,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/ChopinFF/O9/chopin_nocturne_op9_n2/chopin_nocturne_op9_n2.ly,1,270,48.5,0.2711458333333332,0.1208092842073245,0.9896907216494846,73.53647689473321,60.58578738763424,86.80234101060074,0.3908043644012144,67.65124930206127,55.12541169314077,78.88595178728369,0.5955593838926743,0.4263440349544073,0.3041470139103229,0.2371670248474534,59.62208748573554,2.4426661766341096,0.01,57.85897345971477,1.7443588302993471,0.01
12,liszt,Liszt,Consolation No.3,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/LisztF/S.172/liszt-consolation-no3/liszt-consolation-no3.ly,1,119,32.0,0.1274473684210526,0.1318801492471489,0.9895833333333331,84.61899535509613,84.30453853945886,86.16626049349516,0.2623215905667636,76.92635960086702,75.72180703137018,78.23515478658229,0.2707484166630608,0.254982860569743,0.2781039952807724,0.2454510897534782,80.77076257873507,3.0833904884679946,0.08,62.98748561578997,3.28346707855514,0.01
