selection,unit,onset,duration,pitch,staff,voice,bar,measure_position
webern_27,1,0.25,0.5,65,1,,1,0.25
webern_27,1,0.25,0.5,76,1,,1,0.25
webern_27,1,1.0,0.25,73,1,,2,0.25
webern_27,1,1.75,0.25,63,1,,3,0.25
webern_27,1,2.0,0.25,60,1,,3,0.5
webern_27,1,2.0,0.25,74,1,,3,0.5
webern_27,1,3.0,0.25,60,1,,5,0.0
webern_27,1,3.0,0.25,74,1,,5,0.0
webern_27,1,3.25,0.25,63,1,,5,0.25
webern_27,1,4.0,0.5,73,1,,6,0.25
webern_27,1,4.75,0.25,65,1,,7,0.25
webern_27,1,4.75,0.25,76,1,,7,0.25
webern_27,1,5.25,0.25,66,1,,8,0.0
webern_27,1,5.25,0.25,77,1,,8,0.0
webern_27,1,5.5,0.25,81,1,,8,0.25
webern_27,1,6.0,0.25,62,1,,9,0.0
webern_27,1,6.0,0.25,68,1,,9,0.0
webern_27,1,6.0,0.25,73,1,,9,0.0
webern_27,1,6.25,0.25,70,1,,9,0.25
webern_27,1,7.0,0.25,81,1,,10,0.25
webern_27,1,7.25,0.25,66,1,,10,0.5
webern_27,1,7.25,0.25,77,1,,10,0.5
webern_27,1,7.75,0.25,83,1,,11,0.25
webern_27,1,8.0,0.25,66,1,,11,0.5
webern_27,1,8.0,0.25,79,1,,11,0.5
webern_27,1,8.5,0.25,57,1,,12,0.25
webern_27,1,8.5,0.25,70,1,,12,0.25
webern_27,1,8.75,0.25,68,1,,12,0.5
webern_27,1,9.25,0.25,60,1,,13,0.25
webern_27,1,9.25,0.25,74,1,,13,0.25
webern_27,1,9.5,0.25,63,1,,13,0.5
webern_27,1,10.0,0.25,73,1,,14,0.25
webern_27,1,10.25,0.25,65,1,,14,0.5
webern_27,1,10.25,0.25,76,1,,14,0.5
webern_27,1,0.5,0.25,59,2,,1,0.5
webern_27,1,0.75,0.25,54,2,,2,0.0
webern_27,1,0.75,0.25,67,2,,2,0.0
webern_27,1,1.5,0.5,45,2,,3,0.0
webern_27,1,1.5,0.5,58,2,,3,0.0
webern_27,1,2.25,0.25,68,2,,4,0.0
webern_27,1,2.75,0.25,68,2,,4,0.5
webern_27,1,3.0,0.25,68,2,,5,0.0
webern_27,1,3.5,0.25,45,2,,5,0.5
webern_27,1,3.5,0.25,58,2,,5,0.5
webern_27,1,4.25,0.25,54,2,,6,0.5
webern_27,1,4.25,0.25,67,2,,6,0.5
webern_27,1,4.5,0.25,59,2,,7,0.0
