seed,synthetic_01,synthetic_02,synthetic_03,synthetic_04,synthetic_05,synthetic_06,synthetic_07,synthetic_08,synthetic_09,synthetic_10,synthetic_11,synthetic_12
1701,72,60,67,63,70,75,78,71,74,81,77,84
1723,67,72,76,79,71,74,66,70,63,58,65,60
1741,79,67,74,69,66,61,68,65,73,78,70,75
3001,78,71,83,80,75,72,68,64,73,76,69,74
3002,69,77,74,76,81,73,78,82,75,68,72,65
3003,66,71,62,67,74,70,65,73,68,56,64,59
3004,69,72,65,75,70,79,74,82,77,80,73,76
3005,68,80,77,73,70,61,66,69,74,78,71,75
3006,63,75,68,73,76,80,85,82,77,65,72,67
3007,82,77,72,80,76,73,69,64,74,71,78,75
3008,80,71,76,79,72,75,67,70,74,81,77,73
3009,76,69,73,66,71,62,67,63,70,75,79,72
3010,75,70,66,71,74,67,69,72,77,73,82,78
3011,78,73,70,66,61,69,64,60,67,72,76,81
3012,80,73,77,75,70,67,63,58,66,78,71,76
3013,85,78,82,74,77,69,72,76,79,84,88,81
3014,62,74,70,79,75,72,68,65,61,73,66,69
3015,68,63,70,67,75,72,80,77,73,69,76,71
3016,85,73,80,77,72,68,65,60,69,74,78,81
3017,63,75,70,79,74,67,71,62,66,69,73,68
3018,72,65,77,70,75,66,71,63,68,73,76,69
3019,78,66,71,63,68,59,64,67,72,76,69,73
3020,78,66,73,70,77,74,79,76,72,68,75,71
3021,67,79,72,76,81,78,73,80,77,65,74,70

